ref_md,ref_count,sample_sources
docs/projectplan/task_checklist.md,8,"['project/TASK_CHECKLIST.md', 'project/aud
it/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250808-
oauth-unification-completion-report.md', 'project/reports/20250809-api-endpoints
-completion-report.md']"
docs/projectplan/security.md,7,"['project/TASK_CHECKLIST.md', 'project/audit/AUD
IT-PHASE-3.md', 'project/audit/AUDIT-phase-1.md', 'project/reports/20250808-comp
rehensive-auth-and-docs-update-report.md', 'project/reports/20250809-phase5-fina
l-cleanup-report.md']"
docs/roadmap.md,7,"['project/TASK_CHECKLIST.md', 'project/audit/AUDIT-phase-1.md
', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-phase5-endpoint-ref
actor-report.md', 'project/reports/20250809-phase5-final-cleanup-report.md']"
docs/projectplan/next_steps_and_phases.md,6,"['project/audit/AUDIT-phase-1.md',
'project/audit/FIRST_AUDIT.md', 'project/reports/20250808-oauth-unification-comp
letion-report.md', 'project/reports/20250809-phase5-final-cleanup-report.md', 'p
roject/reports/20250809-phase5-playlist-implementation-report.md']"
api/docs/MANUAL.md,6,"['project/audit/AUDIT-phase-1.md', 'project/reports/202508
07-doc-clarification-completion-report.md', 'project/reports/20250808-comprehens
ive-auth-and-docs-update-report.md', 'project/reports/20250808-oauth-unification
-completion-report.md', 'project/reports/20250809-phase5-playlist-implementation
-report.md']"
task_checklist.md,6,"['project/LOW_LEVEL_DESIGN.md', 'project/LOW_LEVEL_DESIGN_p
revious.md', 'project/ROADMAP.md', 'project/reports/20250808-oauth-unification-c
ompletion-report.md', 'project/reports/20250809-phase5-final-cleanup-report.md']
"
docs/projectplan/spotify_fullstack_capability_blueprint.md,6,"['project/audit/AU
DIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250807-spoti
fy-blueprint-completion-report.md', 'project/reports/20250809-phase5-final-clean
up-report.md', 'project/reports/20250809-phase5-playlist-implementation-report.m
d']"
docs/projectplan/spotify_capability_audit.md,6,"['project/TASK_CHECKLIST.md', 'p
roject/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports
/20250809-phase5-final-cleanup-report.md', 'project/reports/20250809-phase5-play
list-implementation-report.md']"
docs/projectplan/privacy_compliance.md,6,"['project/TASK_CHECKLIST.md', 'project
/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250
809-phase5-final-cleanup-report.md', 'project/reports/20250809-phase5-playlist-i
mplementation-report.md']"
docs/projectplan/spotify_gap_alignment_report.md,5,"['project/audit/AUDIT-phase-
1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-phase5-final-cl
eanup-report.md', 'project/reports/20250809-phase5-playlist-implementation-repor
t.md', 'project/reports/20250809-phase5-search-cleanup-report.md']"
docs/developer_guide.md,5,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIR
ST_AUDIT.md', 'project/reports/20250809-phase5-final-cleanup-report.md', 'projec
t/reports/20250809-phase5-playlist-implementation-report.md', 'project/reports/2
0250809-phase5-search-cleanup-report.md']"
