method,path_norm,sources,occurrences
,/api/build/lib/zotify_api/services/webhooks,['project/audit/AUDIT-phase-1.md'],1
,/api/cache,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",4
,/api/config,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/LOW_LEVEL_DESIGN.md', 'project/LOW_LEVEL_DESIGN_previous.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/AUDIT_TRACEABILITY_MATRIX.md', 'project/audit/FIRST_AUDIT.md']",7
,/api/config/reset,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md']",3
,/api/docs,"['project/audit/AUDIT-phase-1.md', 'project/reports/20250809-phase5-final-cleanup-report.md']",2
,/api/docs/CHANGELOG,"['project/PROJECT_REGISTRY.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",3
,/api/docs/CONTRIBUTING,"['project/PROJECT_REGISTRY.md', 'project/audit/AUDIT-phase-1.md', 'project/reports/20250809-phase5-playlist-implementation-report.md', 'project/reports/20250809-phase5-search-cleanup-report.md']",4
,/api/docs/DATABASE,"['project/PROJECT_REGISTRY.md', 'project/audit/AUDIT-phase-1.md', 'project/reports/20250809-phase5-playlist-implementation-report.md', 'project/reports/20250809-phase5-search-cleanup-report.md']",4
,/api/docs/INSTALLATION,"['project/PROJECT_REGISTRY.md', 'project/audit/AUDIT-phase-1.md', 'project/reports/20250809-phase5-playlist-implementation-report.md', 'project/reports/20250809-phase5-search-cleanup-report.md']",4
,/api/docs/MANUAL,"['project/PROJECT_REGISTRY.md', 'project/audit/AUDIT-phase-1.md', 'project/reports/20250809-phase5-playlist-implementation-report.md', 'project/reports/20250809-phase5-search-cleanup-report.md']",4
,/api/docs/full_api_reference,"['project/audit/AUDIT-phase-1.md', 'project/reports/20250809-phase5-playlist-implementation-report.md', 'project/reports/20250809-phase5-search-cleanup-report.md']",3
,/api/docs/manuals/DEVELOPER_GUIDE,['project/PROJECT_REGISTRY.md'],1
,/api/docs/manuals/ERROR_HANDLING_GUIDE,['project/PROJECT_REGISTRY.md'],1
,/api/docs/manuals/LOGGING_GUIDE,['project/LOGGING_TRACEABILITY_MATRIX.md'],1
,/api/docs/manuals/OPERATOR_MANUAL,['project/PROJECT_REGISTRY.md'],1
